model,domain,horizon_s,target,MAE,RMSE,WAPE,R2,seed
graph_wavenet,see_v2x,10,flow_proxy,16697.191363391456,28892.48475057011,0.5100298564886985,0.6314171830632507,52
graph_wavenet,see_v2x,30,speed_mean_kmh,4.757622975726931,8.25335674793934,0.6048198431073907,0.4072605691439758,52
graph_wavenet,see_v2x,30,vehicle_count,1.6246684907799491,2.8526871678300427,0.3643376876076292,0.7713818552650054,52
graph_wavenet,see_v2x,30,flow_proxy,15634.395322936163,26563.854780547816,0.49122340751194704,0.6811475285634048,52
graph_gru,clean,5,speed_mean_kmh,3.932384197712982,7.432721166423681,0.4981031407219909,0.5225060116493245,52
graph_gru,clean,5,vehicle_count,1.0338052571986438,1.7333960161723478,0.22932806407668288,0.9210046640635172,52
graph_gru,clean,5,flow_proxy,13704.55996321913,22564.13801934761,0.4272223099118308,0.7677074565703541,52
graph_gru,clean,10,speed_mean_kmh,4.422227432848132,7.909659739496014,0.5517918609828572,0.4628725985149872,52
graph_gru,clean,10,vehicle_count,1.3345863891586944,2.2663121308686995,0.29405587738682043,0.8626710283743019,52
graph_gru,clean,10,flow_proxy,16687.178300837913,27721.462645906842,0.509723999009674,0.6606892796509979,52
graph_gru,clean,30,speed_mean_kmh,4.431455520128573,7.8102785403348,0.5633553238867196,0.469194238159953,52
graph_gru,clean,30,vehicle_count,1.588975399433076,2.753277741531674,0.356333384921458,0.7870378382763893,52
graph_gru,clean,30,flow_proxy,15452.497514911198,25710.70690040724,0.4855082865090967,0.7012997213314262,52
graph_gru,cicv5g,5,speed_mean_kmh,3.932384197712982,7.432721166423681,0.4981031407219909,0.5225060116493245,52
graph_gru,cicv5g,5,vehicle_count,1.0338052571986438,1.7333960161723478,0.22932806407668288,0.9210046640635172,52
graph_gru,cicv5g,5,flow_proxy,13704.55996321913,22564.13801934761,0.4272223099118308,0.7677074565703541,52
graph_gru,cicv5g,10,speed_mean_kmh,4.422227432848132,7.909659739496014,0.5517918609828572,0.4628725985149872,52
graph_gru,cicv5g,10,vehicle_count,1.3345863891586944,2.2663121308686995,0.29405587738682043,0.8626710283743019,52
graph_gru,cicv5g,10,flow_proxy,16687.178300837913,27721.462645906842,0.509723999009674,0.6606892796509979,52
graph_gru,cicv5g,30,speed_mean_kmh,4.431455520128573,7.8102785403348,0.5633553238867196,0.469194238159953,52
graph_gru,cicv5g,30,vehicle_count,1.588975399433076,2.753277741531674,0.356333384921458,0.7870378382763893,52
graph_gru,cicv5g,30,flow_proxy,15452.497514911198,25710.70690040724,0.4855082865090967,0.7012997213314262,52
graph_gru,see_v2x,5,speed_mean_kmh,3.936117951533184,7.434436697126606,0.4985760839571934,0.5222855674505116,52
graph_gru,see_v2x,5,vehicle_count,1.0362874703395233,1.7447726499981326,0.2298786911220184,0.9199643360806715,52
graph_gru,see_v2x,5,flow_proxy,13725.088245497504,22600.193679936634,0.4278622531275945,0.7669644941979828,52
graph_gru,see_v2x,10,speed_mean_kmh,4.423362637271177,7.912277349152163,0.5519335082795419,0.4625170275885504,52
graph_gru,see_v2x,10,vehicle_count,1.336770678654031,2.2731235083438777,0.2945371524614321,0.8618443063019731,52
graph_gru,see_v2x,10,flow_proxy,16698.749199367674,27726.368447613993,0.5100774419084312,0.6605691749926121,52
graph_gru,see_v2x,30,speed_mean_kmh,4.432948893649604,7.81161983128522,0.5635451711998208,0.4690119076334728,52
graph_gru,see_v2x,30,vehicle_count,1.5886129244424776,2.7501085602935995,0.356252098615581,0.7875278195403697,52
graph_gru,see_v2x,30,flow_proxy,15452.845343080295,25713.00084563953,0.48551921506341067,0.7012464180403004,52
ca_dtnet,clean,5,speed_mean_kmh,3.6409579370990524,7.779667012300882,0.461189063052498,0.47688852881776733,52
ca_dtnet,clean,5,vehicle_count,0.996264323316898,1.8353601263914827,0.22100039343389638,0.9114377897368763,52
ca_dtnet,clean,5,flow_proxy,12811.548881676777,23141.87039426575,0.3993838197992471,0.7556599332798318,52
ca_dtnet,clean,10,speed_mean_kmh,4.1244531214673685,8.166893928966525,0.5146365034340356,0.4273681025589695,52
ca_dtnet,clean,10,vehicle_count,1.3140462515716755,2.4046097312048307,0.28953016947546945,0.8453991342243479,52
ca_dtnet,clean,10,flow_proxy,15556.973013788911,28378.762337453372,0.47520092097750805,0.6444078202419867,52
ca_dtnet,clean,30,speed_mean_kmh,4.155514758522237,8.176673236602836,0.5282759472750876,0.4182239103441028,52
ca_dtnet,clean,30,vehicle_count,1.6180298973098823,3.1490547046053385,0.3628489594101062,0.721411740994739,52
ca_dtnet,clean,30,flow_proxy,13583.178019770494,24371.393283765796,0.42677537914910296,0.7316087773055019,52
ca_dtnet,cicv5g,5,speed_mean_kmh,3.6639070584052114,7.733367222412629,0.46409595841792434,0.4830964757759755,52
ca_dtnet,cicv5g,5,vehicle_count,0.9737645905694069,1.7982021186653074,0.21600929852767903,0.9149874834969575,52
ca_dtnet,cicv5g,5,flow_proxy,12847.121690321017,23066.076206099326,0.40049275708142407,0.7572578360489997,52
ca_dtnet,cicv5g,10,speed_mean_kmh,4.136675516121457,8.090202706726547,0.5161615760347232,0.43807220735752617,52
ca_dtnet,cicv5g,10,vehicle_count,1.2827344553661617,2.3433217196790928,0.2826310898950356,0.8531795479647466,52
ca_dtnet,cicv5g,10,flow_proxy,15592.596568271858,28063.86444673979,0.47628907263038966,0.6522555179943208,52
ca_dtnet,cicv5g,30,speed_mean_kmh,4.160257642700437,8.07397214359781,0.5288788934268047,0.4327466403130309,52
