model,domain,horizon_s,target,sample_index,absolute_error,seed
dcrnn,clean,10,vehicle_count,24,1.029790419549661,42
dcrnn,clean,10,vehicle_count,25,0.910534216371312,42
dcrnn,clean,10,vehicle_count,26,1.0108009228563093,42
dcrnn,clean,10,vehicle_count,27,1.0911473766146065,42
dcrnn,clean,10,vehicle_count,28,1.0497122898507603,42
dcrnn,clean,10,vehicle_count,29,0.9060585223131649,42
dcrnn,clean,10,vehicle_count,30,1.3469682469454491,42
dcrnn,clean,10,vehicle_count,31,1.3337348862785965,42
dcrnn,clean,10,vehicle_count,32,1.4516434548718464,42
dcrnn,clean,10,vehicle_count,33,1.4968429230069504,42
dcrnn,clean,10,vehicle_count,34,1.4305889789491615,42
dcrnn,clean,10,vehicle_count,35,1.350228185532242,42
dcrnn,clean,10,vehicle_count,36,1.5992968636298885,42
dcrnn,clean,10,vehicle_count,37,1.391327775731621,42
dcrnn,clean,10,vehicle_count,38,1.492429759174304,42
dcrnn,clean,10,vehicle_count,39,1.4678061930085848,42
dcrnn,clean,10,vehicle_count,40,1.5841665080769922,42
dcrnn,clean,10,vehicle_count,41,1.5889161829186855,42
dcrnn,clean,10,vehicle_count,42,1.5996779162704118,42
dcrnn,clean,10,vehicle_count,43,1.5854649134265657,42
dcrnn,clean,10,vehicle_count,44,1.418654328492583,42
dcrnn,clean,10,vehicle_count,45,1.433278355738778,42
dcrnn,clean,10,vehicle_count,46,1.6804685611330283,42
dcrnn,clean,10,vehicle_count,47,1.700189584260831,42
dcrnn,clean,10,vehicle_count,48,1.4638189138071562,42
dcrnn,clean,10,vehicle_count,49,1.4493874922783856,42
dcrnn,clean,10,vehicle_count,50,1.4048846367767636,42
dcrnn,clean,10,vehicle_count,51,1.413018244797327,42
dcrnn,clean,10,vehicle_count,52,1.4959946575003091,42
dcrnn,clean,10,vehicle_count,53,1.6689469863793407,42
dcrnn,clean,10,vehicle_count,54,1.5635518652337133,42
dcrnn,clean,10,vehicle_count,55,1.5329401177424076,42
dcrnn,clean,10,vehicle_count,56,1.5888933378113037,42
dcrnn,clean,10,vehicle_count,57,1.5601928307698212,42
