model,domain,horizon_s,target,seed_count,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WAPE_mean,WAPE_std,R2_mean,R2_std,MAE_mean_std,RMSE_mean_std,WAPE_mean_std,R2_mean_std
graph_gru,clean,30,speed_mean_kmh,3,4.395455497656904,0.11529507788588811,7.790709609368289,0.039319181340507436,0.5587787678934716,0.0146570569533923,0.4718418428779067,0.005323510959749176,4.395455 ± 0.115295,7.790710 ± 0.039319,0.558779 ± 0.014657,0.471842 ± 0.005324
graph_gru,clean,30,vehicle_count,3,1.605996255145109,0.03878342561591124,2.7645832372866135,0.04483303240880777,0.3601503723539208,0.008697321137569514,0.7852476741515272,0.006984070998956842,1.605996 ± 0.038783,2.764583 ± 0.044833,0.360150 ± 0.008697,0.785248 ± 0.006984
graph_gru,see_v2x,5,flow_proxy,3,13925.803960093479,174.23294794676943,23115.39403218585,448.3043726608652,0.4341193114684268,0.005431491611867988,0.7561575773478314,0.009405201639837447,13925.803960 ± 174.232948,23115.394032 ± 448.304373,0.434119 ± 0.005431,0.756158 ± 0.009405
graph_gru,see_v2x,5,speed_mean_kmh,3,3.9716372643769975,0.03167897394778645,7.492454257174444,0.12007023735579571,0.5030752072356564,0.004012679236026744,0.5147173367235076,0.015620361016102636,3.971637 ± 0.031679,7.492454 ± 0.120070,0.503075 ± 0.004013,0.514717 ± 0.015620
graph_gru,see_v2x,5,vehicle_count,3,1.0407922223731356,0.006847267157363069,1.7256616558085573,0.02257575829816738,0.23087797609935853,0.0015189229407373734,0.9216991078695062,0.002043677173753575,1.040792 ± 0.006847,1.725662 ± 0.022576,0.230878 ± 0.001519,0.921699 ± 0.002044
graph_gru,see_v2x,10,flow_proxy,3,17202.96925157819,576.2995881525313,28712.5549773384,1144.961737298619,0.5254792705915169,0.017603559176088256,0.635607750715343,0.029225041693504525,17202.969252 ± 576.299588,28712.554977 ± 1144.961737,0.525479 ± 0.017604,0.635608 ± 0.029225
graph_gru,see_v2x,10,speed_mean_kmh,3,4.451924447250481,0.04597846472524612,7.954448525668657,0.15641774598626781,0.5554973625861869,0.005737050615585025,0.4566323252371982,0.021443229229393058,4.451924 ± 0.045978,7.954449 ± 0.156418,0.555497 ± 0.005737,0.456632 ± 0.021443
graph_gru,see_v2x,10,vehicle_count,3,1.3445817066297108,0.00895330006320996,2.2840465928707085,0.05517124156823483,0.29625819405404824,0.0019727239292874764,0.8604590945114926,0.006761957438552153,1.344582 ± 0.008953,2.284047 ± 0.055171,0.296258 ± 0.001973,0.860459 ± 0.006762
graph_gru,see_v2x,30,flow_proxy,3,15908.58707538271,399.2228360817849,26476.425790364246,669.0655404788782,0.49983834938634564,0.012543344200141929,0.683108087025952,0.015904599104896007,15908.587075 ± 399.222836,26476.425790 ± 669.065540,0.499838 ± 0.012543,0.683108 ± 0.015905
graph_gru,see_v2x,30,speed_mean_kmh,3,4.401723867526308,0.11810100688716031,7.796636249057703,0.03537023113028501,0.5595756436653213,0.015013764819269521,0.471039688589284,0.004793623020851602,4.401724 ± 0.118101,7.796636 ± 0.035370,0.559576 ± 0.015014,0.471040 ± 0.004794
graph_gru,see_v2x,30,vehicle_count,3,1.6081105418775892,0.03981103221356824,2.765200765708805,0.04661325949371714,0.3606245086736825,0.008927765572040561,0.7851486922972949,0.007268741576659865,1.608111 ± 0.039811,2.765201 ± 0.046613,0.360625 ± 0.008928,0.785149 ± 0.007269
