domain,communication_metric,baseline,horizon_s,target,severity,samples,ca_dtnet_MAE,baseline_MAE,ca_dtnet_improvement_pct
cicv5g,latency_mean_ms,graph_gru,5,vehicle_count,Q2-moderate,18,1.1086861379099613,1.0982743733453775,-0.9480112367611873
cicv5g,latency_mean_ms,graph_gru,5,vehicle_count,Q3-high,19,0.9683210952277246,1.032149486925426,6.1840258497275675
cicv5g,latency_mean_ms,graph_gru,5,vehicle_count,Q4-severe,18,0.7573988331536279,0.8186277272284033,7.479455103986058
cicv5g,latency_mean_ms,graph_gru,10,flow_proxy,Q1-mild,19,16438.278830532374,20092.88543940647,18.18856042300827
cicv5g,latency_mean_ms,graph_gru,10,flow_proxy,Q2-moderate,18,17240.44898135148,18223.7203434652,5.39555778722081
cicv5g,latency_mean_ms,graph_gru,10,flow_proxy,Q3-high,19,16218.66137048197,18261.215009704734,11.185201193546824
cicv5g,latency_mean_ms,graph_gru,10,flow_proxy,Q4-severe,18,13461.36420348317,12750.681321846749,-5.5736855443026005
cicv5g,latency_mean_ms,graph_gru,10,speed_mean_kmh,Q1-mild,19,4.304547688555816,4.871134590626486,11.631518086110779
cicv5g,latency_mean_ms,graph_gru,10,speed_mean_kmh,Q2-moderate,18,4.442616634020693,4.5156761692664436,1.617909087042173
cicv5g,latency_mean_ms,graph_gru,10,speed_mean_kmh,Q3-high,19,4.435928875533188,4.9172955202153,9.789255938030559
cicv5g,latency_mean_ms,graph_gru,10,speed_mean_kmh,Q4-severe,18,3.5382123419998304,3.544636741906668,0.1812428284331858
cicv5g,latency_mean_ms,graph_gru,10,vehicle_count,Q1-mild,19,1.371064820582939,1.5379417473858414,10.85066622331369
cicv5g,latency_mean_ms,graph_gru,10,vehicle_count,Q2-moderate,18,1.4934155692691904,1.4431563405173313,-3.4825906932289445
cicv5g,latency_mean_ms,graph_gru,10,vehicle_count,Q3-high,19,1.1487859222837054,1.273019973013296,9.759002402737078
cicv5g,latency_mean_ms,graph_gru,10,vehicle_count,Q4-severe,18,1.0738369171852737,1.1439933848119332,6.132593767133845
cicv5g,latency_mean_ms,graph_gru,30,flow_proxy,Q1-mild,19,14825.536062410003,15843.004588567803,6.422194227547945
cicv5g,latency_mean_ms,graph_gru,30,flow_proxy,Q2-moderate,18,14222.489790244214,17405.041535393433,18.285229246225125
cicv5g,latency_mean_ms,graph_gru,30,flow_proxy,Q3-high,19,16203.51105907118,15338.181143617809,-5.64167229054319
cicv5g,latency_mean_ms,graph_gru,30,flow_proxy,Q4-severe,18,13867.483742588922,15124.70784915353,8.31238605798352
cicv5g,latency_mean_ms,graph_gru,30,speed_mean_kmh,Q1-mild,19,3.6517836831555086,4.131304464041494,11.607006549601731
cicv5g,latency_mean_ms,graph_gru,30,speed_mean_kmh,Q2-moderate,18,4.39159240439266,4.683134475864076,6.225361931232778
cicv5g,latency_mean_ms,graph_gru,30,speed_mean_kmh,Q3-high,19,4.806229708204122,4.852953227179999,0.9627852709956695
cicv5g,latency_mean_ms,graph_gru,30,speed_mean_kmh,Q4-severe,18,4.054581132889005,4.4837645223193,9.571943092388313
cicv5g,latency_mean_ms,graph_gru,30,vehicle_count,Q1-mild,19,1.9167902655808295,1.797326300138525,-6.646759954963172
cicv5g,latency_mean_ms,graph_gru,30,vehicle_count,Q2-moderate,18,1.9599797761612057,1.9791041069199042,0.9663125145968532
cicv5g,latency_mean_ms,graph_gru,30,vehicle_count,Q3-high,19,1.4246623216960135,1.35278364777941,-5.313390171684372
cicv5g,latency_mean_ms,graph_gru,30,vehicle_count,Q4-severe,18,1.0330398200175293,1.244941356437102,17.02100533666206
cicv5g,latency_mean_ms,persistence,5,flow_proxy,Q1-mild,19,13021.156498031565,15676.616237423756,16.938985423724873
cicv5g,latency_mean_ms,persistence,5,flow_proxy,Q2-moderate,18,14789.066554932102,18538.91137062832,20.22688787236543
