domain,communication_metric,model,horizon_s,target,samples,severity_error_rho,p_value
see_v2x,latency_mean_ms,ca_dtnet,10,vehicle_count,74,-0.3109218807848944,0.007011523245190058
see_v2x,latency_mean_ms,ca_dtnet,30,flow_proxy,74,0.19573491299518692,0.0946587768120024
see_v2x,latency_mean_ms,ca_dtnet,30,speed_mean_kmh,74,0.4842502776749351,1.2340003475217381e-05
see_v2x,latency_mean_ms,ca_dtnet,30,vehicle_count,74,-0.47829692706405025,1.632176615166045e-05
see_v2x,latency_mean_ms,graph_gru,5,flow_proxy,74,-0.17298778230285075,0.1405086265654896
see_v2x,latency_mean_ms,graph_gru,5,speed_mean_kmh,74,0.09011477230655311,0.4451327738947415
see_v2x,latency_mean_ms,graph_gru,5,vehicle_count,74,-0.2391262495372084,0.040180101737132067
see_v2x,latency_mean_ms,graph_gru,10,flow_proxy,74,-0.22233246945575708,0.05692068489787794
see_v2x,latency_mean_ms,graph_gru,10,speed_mean_kmh,74,0.04672343576453165,0.6926189448289577
see_v2x,latency_mean_ms,graph_gru,10,vehicle_count,74,-0.4468419104035542,6.581460778004079e-05
see_v2x,latency_mean_ms,graph_gru,30,flow_proxy,74,-0.4206293965198074,0.00019036318499853194
see_v2x,latency_mean_ms,graph_gru,30,speed_mean_kmh,74,0.38022954461310615,0.0008328927905172008
see_v2x,latency_mean_ms,graph_gru,30,vehicle_count,74,-0.55346908552388,3.1462920744898256e-07
see_v2x,latency_mean_ms,historical_average,5,flow_proxy,74,-0.07311366160681228,0.53587074097484
see_v2x,latency_mean_ms,historical_average,5,speed_mean_kmh,74,-0.026079229914846347,0.8254349344829603
see_v2x,latency_mean_ms,historical_average,5,vehicle_count,74,-0.48288781932617536,1.3161646558299341e-05
see_v2x,latency_mean_ms,historical_average,10,flow_proxy,74,0.04228063680118474,0.7205830142275961
see_v2x,latency_mean_ms,historical_average,10,speed_mean_kmh,74,-0.07308404294705663,0.5360364034147784
see_v2x,latency_mean_ms,historical_average,10,vehicle_count,74,-0.4176379118844871,0.0002137329137710833
see_v2x,latency_mean_ms,historical_average,30,flow_proxy,74,0.40045908922621243,0.0004071412063375068
see_v2x,latency_mean_ms,historical_average,30,speed_mean_kmh,74,0.11766012587930394,0.3180891601176306
see_v2x,latency_mean_ms,historical_average,30,vehicle_count,74,-0.20752313957793408,0.076036959246006
see_v2x,latency_mean_ms,impaired_gru,5,flow_proxy,74,0.0037171417993335796,0.974925197801469
see_v2x,latency_mean_ms,impaired_gru,5,speed_mean_kmh,74,0.03146982599037393,0.7901076906070714
see_v2x,latency_mean_ms,impaired_gru,5,vehicle_count,74,-0.3181192151055164,0.005742690567523862
see_v2x,latency_mean_ms,impaired_gru,10,flow_proxy,74,-0.21821547574972228,0.0617927440726166
see_v2x,latency_mean_ms,impaired_gru,10,speed_mean_kmh,74,-0.04624953720844131,0.6955830951704424
see_v2x,latency_mean_ms,impaired_gru,10,vehicle_count,74,-0.3717586079229914,0.0011091368288515563
see_v2x,latency_mean_ms,impaired_gru,30,flow_proxy,74,-0.3399185486856719,0.003045775271385028
see_v2x,latency_mean_ms,impaired_gru,30,speed_mean_kmh,74,0.34539800074046645,0.002578399278711865
see_v2x,latency_mean_ms,impaired_gru,30,vehicle_count,74,-0.5367049241021843,8.254318583044731e-07
see_v2x,latency_mean_ms,persistence,5,flow_proxy,74,-0.03025546094039244,0.7980319862177174
see_v2x,latency_mean_ms,persistence,5,speed_mean_kmh,74,-0.019296556830803405,0.8703732499967158
see_v2x,latency_mean_ms,persistence,5,vehicle_count,74,-0.3552017771195852,0.0018996915256116963
see_v2x,latency_mean_ms,persistence,10,flow_proxy,74,-0.02951499444650129,0.8028739471590524
see_v2x,latency_mean_ms,persistence,10,speed_mean_kmh,74,0.09547574972232503,0.4184106300539012
see_v2x,latency_mean_ms,persistence,10,vehicle_count,74,-0.5025249907441687,5.058429716822308e-06
see_v2x,latency_mean_ms,persistence,30,flow_proxy,74,-0.11825249907441686,0.3156416963169793
see_v2x,latency_mean_ms,persistence,30,speed_mean_kmh,74,-0.07539429840799702,0.5231910325844884
see_v2x,latency_mean_ms,persistence,30,vehicle_count,74,-0.5532025175860791,3.196242296300829e-07
see_v2x,latency_p95_ms,ca_dtnet,5,flow_proxy,74,0.18548475809155868,0.1136041535382186
see_v2x,latency_p95_ms,ca_dtnet,5,speed_mean_kmh,74,0.14947427655714837,0.203696580664991
see_v2x,latency_p95_ms,ca_dtnet,5,vehicle_count,74,0.0017851349820476898,0.987956483671717
