domain,communication_metric,model,horizon_s,target,severity,samples,communication_mean,MAE,MAE_CI_lower,MAE_CI_upper,RMSE,RMSE_CI_lower,RMSE_CI_upper
cicv5g,latency_mean_ms,historical_average,5,speed_mean_kmh,Q3-high,19,289.82927430382347,5.555499067335535,5.4071786797558605,5.734055022668705,8.588815888369115,8.283840691777375,8.8954424157659
cicv5g,latency_mean_ms,historical_average,5,speed_mean_kmh,Q4-severe,18,408.3732159313111,5.248318971931913,5.133905355209109,5.364929865742803,7.689402925730871,7.446075919284411,7.92851494973142
cicv5g,latency_mean_ms,historical_average,5,vehicle_count,Q1-mild,19,171.60300600140215,2.185443615274706,2.1339492176261423,2.233988019642854,3.670472515458616,3.5831821315017494,3.762379677831613
cicv5g,latency_mean_ms,historical_average,5,vehicle_count,Q2-moderate,18,194.70449187218318,2.2559457124489373,2.200287622666916,2.3075322342088933,4.241046820246276,4.046415322930693,4.4246024847393866
cicv5g,latency_mean_ms,historical_average,5,vehicle_count,Q3-high,19,289.82927430382347,1.6455442245813445,1.463824477194485,1.8440319537796674,3.117751608523572,2.6420338137797956,3.607106174959722
cicv5g,latency_mean_ms,historical_average,5,vehicle_count,Q4-severe,18,408.3732159313111,1.4019230050319276,1.3396987961199542,1.4663082809050438,2.5013849654412317,2.3358860350788855,2.6735180146851127
cicv5g,latency_mean_ms,historical_average,10,flow_proxy,Q1-mild,19,171.60300600140215,19140.700091913048,18337.264866040554,19903.329336449344,31120.789940236038,30124.23961666221,32099.203721504782
cicv5g,latency_mean_ms,historical_average,10,flow_proxy,Q2-moderate,18,194.70449187218318,20296.778974703848,19609.918270848233,21039.555221342525,33813.91733833498,32606.73930516025,35029.30652095353
cicv5g,latency_mean_ms,historical_average,10,flow_proxy,Q3-high,19,289.82927430382347,19155.964586836762,18284.778264127195,20134.969404891708,31902.69830448556,30766.805640201073,33089.004432694965
cicv5g,latency_mean_ms,historical_average,10,flow_proxy,Q4-severe,18,408.3732159313111,17946.267960520967,17225.739282615792,18644.640110689706,28289.7757959898,27079.389861626583,29647.894384471852
