domain,communication_metric,model,horizon_s,target,mild_MAE,severe_MAE,relative_degradation_pct
cicv5g,aoi_p95_s,persistence,30,flow_proxy,32530.6631620049,26803.232544473358,-17.606252258082755
cicv5g,aoi_p95_s,persistence,30,speed_mean_kmh,7.755692463570391,6.466322392562276,-16.624822031069314
cicv5g,aoi_p95_s,persistence,30,vehicle_count,2.414150262228427,2.226434504887755,-7.775645099648154
see_v2x,latency_mean_ms,ca_dtnet,5,flow_proxy,12987.17491371607,13506.061297958022,3.9953753428972782
see_v2x,latency_mean_ms,ca_dtnet,5,speed_mean_kmh,3.58393540294191,3.6644832470088633,2.2474691864169185
see_v2x,latency_mean_ms,ca_dtnet,5,vehicle_count,0.9819898046075096,0.895158089070153,-8.842425272207354
see_v2x,latency_mean_ms,ca_dtnet,10,flow_proxy,16300.703048471036,15308.200779787081,-6.0887083565174205
see_v2x,latency_mean_ms,ca_dtnet,10,speed_mean_kmh,3.9684697821905432,3.966051753444048,-0.060931010518306544
see_v2x,latency_mean_ms,ca_dtnet,10,vehicle_count,1.3241193503399808,1.0700708945282296,-19.186220171761693
see_v2x,latency_mean_ms,ca_dtnet,30,flow_proxy,15122.54366641005,16006.497679419754,5.845273338324311
see_v2x,latency_mean_ms,ca_dtnet,30,speed_mean_kmh,3.938537749109138,4.799785003869778,21.867182884529377
see_v2x,latency_mean_ms,ca_dtnet,30,vehicle_count,1.8082974797041083,1.3057214168276803,-27.792775565853635
see_v2x,latency_mean_ms,graph_gru,5,flow_proxy,14346.91199025845,13737.018435364376,-4.251044094420918
see_v2x,latency_mean_ms,graph_gru,5,speed_mean_kmh,3.861651613809557,3.9075372352286246,1.1882382433504157
see_v2x,latency_mean_ms,graph_gru,5,vehicle_count,1.079585424383767,0.9829216357554641,-8.953787773496511
see_v2x,latency_mean_ms,graph_gru,10,flow_proxy,19012.23798118439,17881.691611343493,-5.94641394116335
see_v2x,latency_mean_ms,graph_gru,10,speed_mean_kmh,4.361706101152216,4.548622274765589,4.285391286117525
see_v2x,latency_mean_ms,graph_gru,10,vehicle_count,1.4503236549186875,1.2441828495559915,-14.213434583531628
see_v2x,latency_mean_ms,graph_gru,30,flow_proxy,16830.79605176977,14784.88230176541,-12.155775304448618
see_v2x,latency_mean_ms,graph_gru,30,speed_mean_kmh,4.36435269771697,4.834290518899658,10.767640762666876
see_v2x,latency_mean_ms,graph_gru,30,vehicle_count,1.7654706671716351,1.3296738272537818,-24.684456420200636
see_v2x,latency_mean_ms,historical_average,5,flow_proxy,19010.690449878133,18760.5140426543,-1.315977491103197
see_v2x,latency_mean_ms,historical_average,5,speed_mean_kmh,5.622296355224376,5.490573110843115,-2.342872659577493
see_v2x,latency_mean_ms,historical_average,5,vehicle_count,2.1059031996932767,1.4873571597436952,-29.37200708477349
see_v2x,latency_mean_ms,historical_average,10,flow_proxy,19235.811686105186,19184.389014688695,-0.26732779596510914
see_v2x,latency_mean_ms,historical_average,10,speed_mean_kmh,5.5612068745476515,5.456673380841035,-1.8796907915271646
see_v2x,latency_mean_ms,historical_average,10,vehicle_count,2.1086215510840534,1.517058886052033,-28.054472929125073
see_v2x,latency_mean_ms,historical_average,30,flow_proxy,19146.8493623108,21042.958892657465,9.902984530071196
see_v2x,latency_mean_ms,historical_average,30,speed_mean_kmh,5.741748392858826,5.782785742157546,0.7147186957597685
see_v2x,latency_mean_ms,historical_average,30,vehicle_count,1.9071662138459775,1.7754079125841862,-6.908590327071151
see_v2x,latency_mean_ms,impaired_gru,5,flow_proxy,14642.99934838513,14851.6778013785,1.4251073023249252
see_v2x,latency_mean_ms,impaired_gru,5,speed_mean_kmh,3.926037962706172,3.9000456564685604,-0.6620492827198902
see_v2x,latency_mean_ms,impaired_gru,5,vehicle_count,1.0966778205089234,0.9729337588105634,-11.283538178293927
see_v2x,latency_mean_ms,impaired_gru,10,flow_proxy,18911.398917571747,17380.399668134392,-8.095642506985557
see_v2x,latency_mean_ms,impaired_gru,10,speed_mean_kmh,4.4292064633474055,4.384950374590047,-0.999187755722568
see_v2x,latency_mean_ms,impaired_gru,10,vehicle_count,1.4369279923905818,1.2229152357399455,-14.893770341630791
see_v2x,latency_mean_ms,impaired_gru,30,flow_proxy,15857.63664278341,13713.198699455977,-13.523061422283146
see_v2x,latency_mean_ms,impaired_gru,30,speed_mean_kmh,4.445337157598506,4.823679382548556,8.510990520758194
see_v2x,latency_mean_ms,impaired_gru,30,vehicle_count,1.7882370747161562,1.2365787237468517,-30.849284789151337
see_v2x,latency_mean_ms,persistence,5,flow_proxy,16118.567796072668,16311.034402032228,1.194067664041068
see_v2x,latency_mean_ms,persistence,5,speed_mean_kmh,4.524597193798237,4.3265702616697475,-4.376675385871985
see_v2x,latency_mean_ms,persistence,5,vehicle_count,1.1553063415284568,1.0072860059480737,-12.812215165661812
see_v2x,latency_mean_ms,persistence,10,flow_proxy,21801.436642203127,20997.020857471794,-3.6897375064438602
see_v2x,latency_mean_ms,persistence,10,speed_mean_kmh,5.194594240357965,5.498004810217682,5.840890649713571
see_v2x,latency_mean_ms,persistence,10,vehicle_count,1.6203624376791574,1.3406193550066428,-17.2642289429251
see_v2x,latency_mean_ms,persistence,30,flow_proxy,31108.064762107104,31048.00595000028,-0.19306508638867037
see_v2x,latency_mean_ms,persistence,30,speed_mean_kmh,7.583341170029603,7.460435784109872,-1.6207286867614115
see_v2x,latency_mean_ms,persistence,30,vehicle_count,2.5194134063492912,2.14298730528012,-14.941021534076942
see_v2x,aoi_mean_s,ca_dtnet,5,flow_proxy,11456.8290506715,12844.830428318664,12.115057067772169
see_v2x,aoi_mean_s,ca_dtnet,5,speed_mean_kmh,3.282761486999464,3.328255176087831,1.3858359533566276
see_v2x,aoi_mean_s,ca_dtnet,5,vehicle_count,0.8426395009815542,0.8650114506497917,2.654984649625248
see_v2x,aoi_mean_s,ca_dtnet,10,flow_proxy,14766.701123301298,14325.499328061573,-2.9878155693367887
