domain,communication_metric,horizon_s,target,severity,samples,PICP,MPIW,coverage_error_from_0_8
see_v2x,latency_p95_ms,5,speed_mean_kmh,S3,12,0.8060109289617486,10.454171380893264,0.006010928961748596
see_v2x,latency_p95_ms,5,vehicle_count,S1,46,0.7997148966500356,2.5549054691643875,-0.0002851033499644551
see_v2x,latency_p95_ms,5,vehicle_count,S2,16,0.8524590163934426,2.373742933771176,0.052459016393442526
see_v2x,latency_p95_ms,5,vehicle_count,S3,12,0.8210382513661202,2.6568817664102684,0.021038251366120142
see_v2x,latency_p95_ms,10,flow_proxy,S1,46,0.7690662865288667,37248.97311631837,-0.030933713471133384
see_v2x,latency_p95_ms,10,flow_proxy,S2,16,0.8155737704918032,34367.43516921806,0.015573770491803196
see_v2x,latency_p95_ms,10,flow_proxy,S3,12,0.7882513661202184,40134.1510346398,-0.011748633879781645
see_v2x,latency_p95_ms,10,speed_mean_kmh,S1,46,0.7569493941553815,10.308704382485512,-0.043050605844618506
see_v2x,latency_p95_ms,10,speed_mean_kmh,S2,16,0.8094262295081968,9.382729473678193,0.009426229508196715
see_v2x,latency_p95_ms,10,speed_mean_kmh,S3,12,0.75,11.074099758218493,-0.050000000000000044
see_v2x,latency_p95_ms,10,vehicle_count,S1,46,0.782608695652174,3.0500966390099573,-0.017391304347826098
see_v2x,latency_p95_ms,10,vehicle_count,S2,16,0.8534836065573771,2.7962426863294896,0.05348360655737705
see_v2x,latency_p95_ms,10,vehicle_count,S3,12,0.7650273224043715,3.1688266968064167,-0.0349726775956285
see_v2x,latency_p95_ms,30,flow_proxy,S1,46,0.8025659301496791,37166.3544446799,0.0025659301496790965
see_v2x,latency_p95_ms,30,flow_proxy,S2,16,0.8186475409836066,37808.303425293634,0.018647540983606548
see_v2x,latency_p95_ms,30,flow_proxy,S3,12,0.8128415300546448,38407.63070271087,0.012841530054644723
see_v2x,latency_p95_ms,30,speed_mean_kmh,S1,46,0.8029223093371346,11.121555372359769,0.0029223093371345543
see_v2x,latency_p95_ms,30,speed_mean_kmh,S2,16,0.7930327868852459,10.460311978961881,-0.006967213114754123
see_v2x,latency_p95_ms,30,speed_mean_kmh,S3,12,0.837431693989071,11.58725321000403,0.03743169398907098
see_v2x,latency_p95_ms,30,vehicle_count,S1,46,0.7655024946543124,3.549055552292209,-0.03449750534568763
see_v2x,latency_p95_ms,30,vehicle_count,S2,16,0.8350409836065573,3.3624846275638656,0.035040983606557274
see_v2x,latency_p95_ms,30,vehicle_count,S3,12,0.7254098360655737,3.703210866228181,-0.0745901639344263
see_v2x,aoi_mean_s,5,flow_proxy,Q1-mild,19,0.8386540120793787,32208.407005494275,0.038654012079378686
see_v2x,aoi_mean_s,5,flow_proxy,Q2-moderate,18,0.825136612021858,37577.213600954005,0.025136612021857907
see_v2x,aoi_mean_s,5,flow_proxy,Q3-high,19,0.7903364969801554,36284.01092873813,-0.009663503019844644
see_v2x,aoi_mean_s,5,flow_proxy,Q4-severe,18,0.8178506375227687,32370.468759866057,0.01785063752276861
see_v2x,aoi_mean_s,5,speed_mean_kmh,Q1-mild,19,0.804141501294219,8.776667851121257,0.004141501294218974
see_v2x,aoi_mean_s,5,speed_mean_kmh,Q2-moderate,18,0.7896174863387979,10.072874279278075,-0.01038251366120213
see_v2x,aoi_mean_s,5,speed_mean_kmh,Q3-high,19,0.7610008628127697,10.882904059436465,-0.03899913718723036
see_v2x,aoi_mean_s,5,speed_mean_kmh,Q4-severe,18,0.8105646630236794,8.645514390561614,0.01056466302367931
see_v2x,aoi_mean_s,5,vehicle_count,Q1-mild,19,0.8360655737704917,2.450281217888269,0.03606557377049169
see_v2x,aoi_mean_s,5,vehicle_count,Q2-moderate,18,0.7923497267759564,2.7005380367095437,-0.007650273224043658
see_v2x,aoi_mean_s,5,vehicle_count,Q3-high,19,0.7886108714408973,2.5860796569502282,-0.01138912855910279
see_v2x,aoi_mean_s,5,vehicle_count,Q4-severe,18,0.8415300546448088,2.3937543575622584,0.041530054644808745
see_v2x,aoi_mean_s,10,flow_proxy,Q1-mild,19,0.7773943054357205,34514.45589767387,-0.02260569456427952
see_v2x,aoi_mean_s,10,flow_proxy,Q2-moderate,18,0.7859744990892532,39680.58369843143,-0.014025500910746835
see_v2x,aoi_mean_s,10,flow_proxy,Q3-high,19,0.7696289905090595,39260.22769363763,-0.030371009490940515
see_v2x,aoi_mean_s,10,flow_proxy,Q4-severe,18,0.7969034608378871,34942.8913148404,-0.0030965391621129434
