model,horizon_s,target,difficulty_quartile,paired_samples,delta_MAE_see_minus_cic,CI_lower,CI_upper
persistence,30,flow_proxy,Q2-moderate,18,-13.471711126342496,-40.41513337902749,0.0
persistence,30,flow_proxy,Q3-hard,18,15.459075877024993,0.0,46.37722763107498
persistence,30,flow_proxy,Q4-very-hard,19,-50.98257995907088,-152.94773987721265,0.0
persistence,30,speed_mean_kmh,Q1-easy,19,0.010067650289328527,-0.005782124459392547,0.03598507532737813
persistence,30,speed_mean_kmh,Q2-moderate,18,-0.0009460621823635446,-0.002838186547090634,0.0
persistence,30,speed_mean_kmh,Q3-hard,18,0.0009475511558637942,0.0,0.002842653467591383
persistence,30,speed_mean_kmh,Q4-very-hard,19,-0.004577233391553143,-0.013731700174659429,0.0
persistence,30,vehicle_count,Q1-easy,19,0.0077653162938889735,0.0,0.02329594888166692
persistence,30,vehicle_count,Q2-moderate,18,0.0009107468995002637,0.0,0.002732240698500791
persistence,30,vehicle_count,Q3-hard,18,0.0009107469727389134,0.0,0.0027322409182167404
persistence,30,vehicle_count,Q4-very-hard,19,0.0008628129215432271,0.0,0.002588438764629681
